Genomes	arCOG Taxonomy	Public/Private	Completeness	Contamination	MAG Size (Mb)	Predicted MAG Size
GCA_024720895_1_ASM2472089v1	Njordarchaeales	Public	83.81	0.93	1.425842	1.657
GCA_024720915_1_ASM2472091v1	Njordarchaeales	Public	82.87	0.47	1.257256	1.473
GCA_024720935_1_ASM2472093v1	Njordarchaeales	Public	82.87	0.47	1.260635	1.477
GCA_024720955_1_ASM2472095v1	Njordarchaeales	Public	83.81	1.87	1.428557	1.66
GCA_024720975_1_ASM2472097v1	Njordarchaeales	Public	85.21	0.93	1.356939	1.558
GCA_024720985_1_ASM2472098v1	Njordarchaeales	Public	81.94	0	1.267925	1.497
RPF2	Freyarchaeia	Public	94.55	3.27	3.541489	3.735
M288	Njordarchaeales	Public	82.02	2.8	2.31	2.725
M3_10_Bin_237	Thorarchaeia	Private	63.66	2.8	1.8152	2.475
M3_30_Bin_130	Hodarchaeales	Private	82.94	2.8	3.330772	3.899
M3_30_Bin_136	Thorarchaeia	Private	91.12	1.87	3.710827	4.04
M3_30_Bin_143	Kariarchaeaceae	Private	51.13	1.87	3.673219	5.468
M3_30_Bin_165	Hodarchaeales	Private	75.32	4.42	2.946751	3.674
M3_30_Bin_210	Hodarchaeales	Private	88.79	3.27	3.795626	4.221
M3_30_Bin_238	Thorarchaeia	Private	91.59	3.74	3.675718	3.985
M3_30_Bin_242	Thorarchaeia	Private	88.43	1.87	3.243356	3.619
M3_30_Bin_276	Hodarchaeales	Private	87.25	5.14	4.204422	4.74
M3_30_Bin_286	Thorarchaeia	Private	62.11	8.55	1.828348	2.521
M3_30_Bin_336	Heimdallarchaeaceae	Private	86.6	1.87	2.083807	2.363
M3_30_Bin_353	Hodarchaeales	Private	69.66	6.07	4.17017	5.435
M3_30_Bin_364	Hodarchaeales	Private	89.65	6.07	4.419286	4.877
M3_30_Bin_42	Hodarchaeales	Private	90.65	6.69	6.184642	6.763
M3_30_Bin_48	Lokiarchaeales	Private	61.3	9.42	3.399596	4.715
M3_30_Bin_73	Thorarchaeia	Private	90.65	5.14	3.415348	3.735
M3_38_Bin_107	Thorarchaeia	Private	90.19	3.74	4.009204	4.403
M3_38_Bin_135_clean	Hodarchaeales	Private	72.3	8.29	4.785412	6.111
M3_38_Bin_151	Thorarchaeia	Private	77.33	1.87	3.114595	3.821
M3_38_Bin_171_clean	Thorarchaeia	Private	90.65	9.81	5.386721	5.89
M3_38_Bin_173_clean	Hodarchaeales	Private	91.3	6.61	5.620362	6.109
M3_38_Bin_18	Hodarchaeales	Private	64.97	1.87	2.787037	3.763
M3_38_Bin_207	Thorarchaeia	Private	75.39	4.52	3.686707	4.594
M3_38_Bin_22	Hodarchaeales	Private	80.2	8.88	4.855565	5.817
M3_38_Bin_235	Heimdallarchaeaceae	Private	70.02	2.49	1.691692	2.199
M3_38_Bin_28_clean	Lokiarchaeales	Private	79.44	8.41	5.118141	6.17
M3_38_Bin_300	Hodarchaeales	Private	62.69	6.54	3.168721	4.351
M3_38_Bin_305	Kariarchaeaceae	Private	85.92	3.27	6.302966	7.19
M3_38_Bin_335	Thorarchaeia	Private	88.01	1.87	2.896907	3.244
M3_38_Bin_337	Lokiarchaeales	Private	79.91	4.67	4.238637	5.09
M3_38_Bin_361	Hodarchaeales	Private	88.94	2.8	4.421612	4.911
M3_38_Bin_366_clean	Hodarchaeales	Private	94.86	7.17	6.260886	6.583
M3_38_Bin_376	Thorarchaeia	Private	76.29	5.68	2.865575	3.545
M3_38_Bin_380_clean	Lokiarchaeales	Private	58.58	6.54	3.196922	4.521
M3_38_Bin_382	Thorarchaeia	Private	58.07	4.67	1.948386	2.765
M3_38_Bin_386_clean	Kariarchaeaceae	Private	57.4	8.09	5.044108	7.193
M3_38_Bin_406	Lokiarchaeales	Private	89.41	6.07	4.914736	5.435
M3_38_Bin_423	Thorarchaeia	Private	90.19	4.24	3.280537	3.602
M3_38_Bin_438	Hodarchaeales	Private	86.68	6.07	3.762879	4.264
M3_38_Bin_452	Hodarchaeales	Private	60.99	4.67	2.09108	2.907
M3_38_Bin_455_clean	Hodarchaeales	Private	85.36	4.67	5.88204	6.743
M3_38_Bin_77	Hodarchaeales	Private	84.04	7.01	4.172996	4.839
M3_38_Bin_97_clean	Thorarchaeia	Private	67.77	9.57	4.300009	5.686
M3_44_Bin_122	Thorarchaeia	Private	91.59	2.34	3.929191	4.26
M3_44_Bin_131	Hodarchaeales	Private	82.24	9.19	6.150038	7.242
M3_44_Bin_221	Thorarchaeia	Private	90.19	4.67	4.136442	4.542
M3_44_Bin_237	Thorarchaeia	Private	79.12	9.49	3.935792	4.758
M3_44_Bin_287	Thorarchaeia	Private	75.55	7.05	2.543187	3.165
M3_44_Bin_299	Lokiarchaeales	Private	83.8	5.14	4.736009	5.503
M3_44_Bin_309	Thorarchaeia	Private	87.06	6.07	3.334779	3.766
M3_44_Bin_333	Thorarchaeia	Private	82.39	5.61	3.207548	3.772
M3_44_Bin_347	Hodarchaeales	Private	90.19	3.74	4.508706	4.951
M3_44_Bin_361	Thorarchaeia	Private	87.54	3.27	2.945063	3.312
M3_44_Bin_376	Hodarchaeales	Private	88.24	8.41	3.784447	4.229
M3_44_Bin_378	Kariarchaeaceae	Private	83.42	9.96	5.160744	6.016
M3_44_Bin_429	Thorarchaeia	Private	90.19	4.67	3.448063	3.786
M8_32_Bin_163	Thorarchaeia	Private	85.51	4.05	2.975882	3.407
M8_32_Bin_172	Lokiarchaeales	Private	70.72	3.77	3.390852	4.384
M8_32_Bin_264	Thorarchaeia	Private	91.59	3.09	3.486547	3.78
M8_32_Bin_293	Thorarchaeia	Private	60.36	3.34	1.790794	2.501
M8_44_Bin_141	Thorarchaeia	Private	85.12	3.74	3.435519	3.947
M8_44_Bin_15	Lokiarchaeales	Private	73.92	3.02	3.189629	4.021
M8_44_Bin_154	Thorarchaeia	Private	88.71	8.84	3.377264	3.759
M8_44_Bin_190	Hodarchaeales	Private	80.15	5.43	4.165044	4.992
M8_44_Bin_202	Thorarchaeia	Private	86.76	7.94	3.292041	3.728
M8_44_Bin_219	Thorarchaeia	Private	88.79	1.87	3.477986	3.868
M8_44_Bin_231	Hodarchaeales	Private	88.08	3.74	4.046289	4.529
M8_44_Bin_242	Thorarchaeia	Private	78.97	2.8	2.36915	2.867
M8_44_Bin_255	Lokiarchaeales	Private	77.19	5.14	3.945948	4.846
M8_44_Bin_295	Ranarchaeia	Private	83.8	2.8	1.294094	1.504
M8_44_Bin_330	Lokiarchaeales	Private	87.15	5.61	4.02061	4.537
M8_44_Bin_342_clean	Thorarchaeia	Private	68.32	7.48	2.649562	3.489
M8_44_Bin_35	Thorarchaeia	Private	62.8	8.38	1.98341	2.721
M8_58_Bin_135	Thorarchaeia	Private	85.91	5.99	4.293352	4.898
M8_58_Bin_146	Thorarchaeia	Private	89.25	1.87	3.730364	4.131
M8_58_Bin_151_clean	Hodarchaeales	Private	71.61	8.09	3.983216	5.114
M8_58_Bin_169	Hodarchaeales	Private	76.19	4.28	4.186001	5.183
M8_58_Bin_177	Thorarchaeia	Private	85.12	8.72	4.425689	5.084
M8_58_Bin_182_clean	Hodarchaeales	Private	85.83	6.54	4.597456	5.249
M8_58_Bin_189_clean	Thorarchaeia	Private	85.51	6.54	4.297998	4.921
M8_58_Bin_191_clean	Kariarchaeaceae	Private	71.65	6.07	5.078173	6.518
M8_58_Bin_202	Thorarchaeia	Private	54.28	9.11	5.884784	8.575
M8_58_Bin_246	Lokiarchaeales	Private	51.12	1.87	2.410045	3.588
M8_58_Bin_297_clean	Kariarchaeaceae	Private	67.06	9.17	3.890032	5.171
M8_58_Bin_307	Lokiarchaeales	Private	88.47	7.01	5.132067	5.724
M8_58_Bin_354	Lokiarchaeales	Private	91.74	4.67	4.280724	4.634
M8_58_Bin_368	Thorarchaeia	Private	88.32	3.74	3.295038	3.68
M8_58_Bin_389	Sifarchaeia	Private	64.49	7	1.87212	2.537
M8_58_Bin_407	Hodarchaeales	Private	72.59	2.95	2.904719	3.701
M8_58_Bin_408	Hodarchaeales	Private	89.49	3.74	3.925364	4.338
M8_58_Bin_410	Thorarchaeia	Private	64.51	6.29	2.708891	3.67
M8_58_Bin_497	Hodarchaeales	Private	84.9	2.16	4.155797	4.783
M8_58_Bin_52	Hodarchaeales	Private	51.93	3.74	2.277161	3.372
M8_58_Bin_56_clean	Thorarchaeia	Private	59.55	8.41	2.528531	3.551
M8_58_Bin_88	Thorarchaeia	Private	80.78	8.88	3.363446	4.01
M8_62_Bin_108_clean	Lokiarchaeales	Private	83.64	9.81	4.445101	5.172
M8_62_Bin_112	Lokiarchaeales	Private	85.05	7.7	5.55732	6.388
M8_62_Bin_113	Lokiarchaeales	Private	85.67	6.07	5.390344	6.163
M8_62_Bin_119_clean	Hodarchaeales	Private	61.53	2.18	2.575312	3.566
M8_62_Bin_12	Hodarchaeales	Private	66.64	8.41	4.012763	5.351
M8_62_Bin_124_clean	Thorarchaeia	Private	74.56	9.81	3.882415	4.87
M8_62_Bin_136_clean	Thorarchaeia	Private	90.65	7.01	4.574384	5.002
M8_62_Bin_151	Thorarchaeia	Private	91.12	2.34	3.580836	3.899
M8_62_Bin_21_clean	Lokiarchaeales	Private	58.52	6.07	2.625406	3.714
M8_62_Bin_212	Hodarchaeales	Private	90.65	4.21	4.65709	5.093
M8_62_Bin_225	Heimdallarchaeaceae	Private	85.05	4.52	2.824931	3.247
M8_62_Bin_241	Hodarchaeales	Private	68.8	4.67	3.995402	5.242
M8_62_Bin_273	Thorarchaeia	Private	92.52	7.79	4.378319	4.706
M8_62_Bin_275	Hodarchaeales	Private	89.49	3.74	3.899722	4.31
M8_62_Bin_303	Thorarchaeia	Private	60.06	5.28	1.471522	2.059
M8_62_Bin_310	Thorarchaeia	Private	88.32	3.74	3.346075	3.737
M8_62_Bin_312	Thorarchaeia	Private	80.45	4.67	2.901958	3.469
M8_62_Bin_321	Thorarchaeia	Private	62.22	4.28	3.050408	4.203
M8_62_Bin_362	Kariarchaeaceae	Private	71.75	7.44	6.141848	7.877
M8_62_Bin_377	Lokiarchaeales	Private	89.41	4.67	4.200563	4.645
M8_62_Bin_56	Thorarchaeia	Private	50.25	0	1.675328	2.509
M8_62_Bin_65	Thorarchaeia	Private	78.06	8.88	3.29444	4.017
M8_62_Bin_8	Lokiarchaeales	Private	62.47	0.93	2.903961	3.994
M8_62_Bin_80_clean	Thorarchaeia	Private	76.73	8.02	3.454453	4.258
M8_62_Bin_83	Hodarchaeales	Private	57.87	4.52	3.929467	5.585
Meg19_1012_Bin_106	Thorarchaeia	Private	52.92	3.27	1.799455	2.647
Meg19_1012_Bin_144	Lokiarchaeales	Private	57.28	0	1.459045	2.082
Meg19_1012_Bin_162	Lokiarchaeales	Private	73.45	3.74	3.423774	4.333
Meg19_1012_Bin_170	Thorarchaeia	Private	92.52	4.05	3.580991	3.849
Meg19_1012_Bin_19	Lokiarchaeales	Private	72.69	5.14	3.069375	3.908
Meg19_1012_Bin_206	Gerdarchaeales	Private	75.78	5.61	2.01057	2.498
Meg19_1012_Bin_225	Hodarchaeales	Private	72.27	0.47	1.362204	1.74
Meg19_1012_Bin_228	Lokiarchaeales	Private	88.32	4.21	4.443713	4.963
Meg19_1012_Bin_246	Heimdallarchaeaceae	Private	85.51	2.34	2.678869	3.067
Meg19_1012_Bin_34	Thorarchaeia	Private	56.16	2.88	1.687379	2.427
Meg19_1012_Bin_417	Heimdallarchaeaceae	Private	91.59	3.58	3.097729	3.358
Meg19_1012_Bin_444	Hodarchaeales	Private	85.91	3.27	3.418516	3.9
Meg19_1012_Bin_476	Lokiarchaeales	Private	60.39	6.07	2.923938	4.082
Meg19_1012_Bin_489	Gerdarchaeales	Private	89.72	5.28	3.535924	3.899
Meg19_1012_Bin_49	Lokiarchaeales	Private	68.15	4.42	1.721449	2.27
Meg19_1012_Bin_504	Helarchaeales	Public	85.98	3.74	3.623501	4.132
Meg22_02_Bin_102	Lokiarchaeales	Private	56.35	4.21	2.288999	3.288
Meg22_02_Bin_148	Lokiarchaeales	Private	69.08	3.11	2.783483	3.644
Meg22_02_Bin_168	Gerdarchaeales	Private	89.72	7.01	2.776982	3.062
Meg22_02_Bin_38	Lokiarchaeales	Private	62.88	8.17	2.136548	2.93
Meg22_02_Bin_50	Hodarchaeales	Private	71.58	2.49	1.805118	2.318
Meg22_1012_Bin_118	Heimdallarchaeaceae	Private	91.59	2.34	2.961612	3.211
Meg22_1012_Bin_131	Lokiarchaeales	Private	52.29	1.47	1.125962	1.663
Meg22_1012_Bin_145	Lokiarchaeales	Private	85.67	5.61	4.23523	4.842
Meg22_1012_Bin_159	Lokiarchaeales	Private	91.3	3.74	5.336783	5.801
Meg22_1012_Bin_162	Odinarchaeia	Private	87.54	1.71	1.957233	2.201
Meg22_1012_Bin_182	Thorarchaeia	Private	92.52	5.61	3.969996	4.267
Meg22_1012_Bin_214	Helarchaeales	Private	94.08	3.74	4.720523	5
Meg22_1012_Bin_230	Heimdallarchaeaceae	Private	95.33	4.21	3.635119	3.805
Meg22_1012_Bin_233	Lokiarchaeales	Public	91.12	3.27	4.516468	4.918
Meg22_1012_Bin_249	Lokiarchaeales	Private	91.59	0.93	4.688633	5.083
Meg22_1012_Bin_275	Helarchaeales	Private	92.52	3.74	3.675429	3.95
Meg22_1012_Bin_281	Helarchaeales	Private	94.08	5.61	4.761749	5.044
Meg22_1012_Bin_285	Lokiarchaeales	Private	86.92	4.21	3.813675	4.313
Meg22_1012_Bin_314	Helarchaeales	Private	95.95	3.63	5.556188	5.781
Meg22_1012_Bin_332	Gerdarchaeales	Private	68.46	2.34	2.984375	3.926
Meg22_1012_Bin_344	Heimdallarchaeaceae	Private	89.25	4.21	3.334709	3.693
Meg22_1012_Bin_354	Lokiarchaeales	Private	80.95	4.52	4.797311	5.711
Meg22_1012_Bin_78	Heimdallarchaeaceae	Private	88.79	1.94	2.561412	2.849
Meg22_1012_Bin_83	Gerdarchaeales	Private	89.72	7.01	3.942977	4.348
SRVP_Freyarchaeota_final_genome	Freyarchaeia	Private	98.13	4.21	3.576204	3.643
Meg22_1214_Bin_101	Odinarchaeia	Private	96.26	4.21	1.580347	1.639
D4994_C39_H2_Bin_3_clean	Freyarchaeia	Private	72.08	5.76	1.84235	2.357
Meg22_1214_Bin_145	Thorarchaeia	Private	92.52	5.92	3.866486	4.156
Meg22_1214_Bin_158	Heimdallarchaeaceae	Private	94.39	3.27	2.956531	3.122
Meg22_1214_Bin_165	Lokiarchaeales	Private	86.6	3.27	4.144193	4.7
Meg22_1214_Bin_169	Helarchaeales	Private	95.48	4.21	4.755767	4.971
Meg22_1214_Bin_179	Heimdallarchaeaceae	Private	86.92	0.93	2.414892	2.731
Meg22_1214_Bin_185	Helarchaeales	Private	78.04	0.93	3.359105	4.097
Meg22_1214_Bin_186	Gerdarchaeales	Private	50.24	1.4	2.624811	3.931
Meg22_1214_Bin_189	Lokiarchaeales	Private	92.52	2.34	5.407923	5.812
Meg22_1214_Bin_191	Lokiarchaeales	Public	92.06	3.27	4.679625	5.051
Meg22_1214_Bin_20	Helarchaeales	Private	93.39	3.74	3.795456	4.046
Meg22_1214_Bin_213	Lokiarchaeales	Private	78.97	2.8	3.725044	4.508
Meg22_1214_Bin_22	Lokiarchaeales	Private	65.19	5.26	1.803472	2.431
Meg22_1214_Bin_223	Lokiarchaeales	Private	79.91	4.98	2.886714	3.467
Meg22_1214_Bin_226	Lokiarchaeales	Private	91.98	5.14	5.116914	5.527
Meg22_1214_Bin_228	Helarchaeales	Private	94.08	4.21	4.85112	5.138
Meg22_1214_Bin_23	Gerdarchaeales	Private	92.37	4.74	3.870208	4.166
Meg22_1214_Bin_256	Helarchaeales	Private	83.18	5.14	4.365737	5.1
Meg22_1214_Bin_318	Heimdallarchaeaceae	Private	87.78	7.23	3.327052	3.734
Meg22_1214_Bin_40	Lokiarchaeales	Private	86.53	3.27	4.067207	4.615
Meg22_1214_Bin_408	Heimdallarchaeaceae	Private	90.65	4.21	3.433948	3.755
Meg22_1214_Bin_5	Helarchaeales	Private	90.34	5.03	4.425516	4.853
Meg22_1214_Bin_97	Hodarchaeales	Private	73.76	1.94	2.805819	3.542
Meg22_1416_Bin_13	Lokiarchaeales	Private	80.37	0.93	2.84625	3.405
Meg22_1416_Bin_130	Helarchaeales	Private	92.21	4.96	5.631557	6.07
Meg22_1416_Bin_151	Lokiarchaeales	Public	88.32	6.07	4.423782	4.94
Meg22_1416_Bin_16	Heimdallarchaeaceae	Private	85.51	0.93	2.417286	2.768
Meg22_1416_Bin_161	Lokiarchaeales	Private	80.37	3.27	3.811841	4.56
Meg22_1416_Bin_171	Odinarchaeia	Private	64.49	1.4	1.056379	1.431
Meg22_1416_Bin_173	Lokiarchaeales	Private	64.13	2.34	2.305722	3.133
Meg22_1416_Bin_184	Thorarchaeia	Private	72.43	6.51	4.384746	5.594
Meg22_1416_Bin_186	Thorarchaeia	Private	58.81	1.14	1.174718	1.659
D4998_C1112_H1_Bin_361	Freyarchaeia	Private	51.21	0	2.536944	3.775
Meg22_1416_Bin_36	Heimdallarchaeaceae	Private	78.54	0.93	2.194615	2.666
Meg22_1416_Bin_67	Helarchaeales	Private	91.28	3.74	4.887841	5.314
Meg22_1416_Bin_72	Helarchaeales	Private	92.06	3.27	4.895504	5.284
Meg22_1416_Bin_92_2_1	Hodarchaeales	Private	68.69	1.87	2.248291	2.952
Meg22_1618_Bin_103	Lokiarchaeales	Private	84.11	2.34	4.380386	5.076
Meg22_1618_Bin_122	Odinarchaeia	Private	96.26	2.8	1.490629	1.546
D4998_C1112_H2_Bin_75	Freyarchaeia	Private	71.42	7.01	1.574977	2.025
Meg22_1618_Bin_161	Helarchaeales	Private	89.72	6.54	6.164191	6.798
Meg22_1618_Bin_17	Lokiarchaeales	Private	74.66	0.93	3.283375	4.115
Meg22_1618_Bin_30	Heimdallarchaeaceae	Private	80.37	7.01	3.248568	3.886
Meg22_1618_Bin_45	Thorarchaeia	Private	93.93	3.74	2.827428	2.999
Meg22_1618_Bin_62	Heimdallarchaeaceae	Private	86.45	2.34	2.753283	3.126
Meg22_1618_Bin_74	Hodarchaeales	Private	91.12	3.74	4.016805	4.373
Meg22_24_Bin_100	Gerdarchaeales	Private	86.92	3.58	2.642702	2.988
Meg22_24_Bin_104	Hodarchaeales	Private	53.92	3.12	1.539214	2.248
Meg22_24_Bin_122	Lokiarchaeales	Private	65.42	4.98	2.376434	3.198
Meg22_24_Bin_138	Lokiarchaeales	Private	73.8	8.71	3.507453	4.426
Meg22_24_Bin_167	Gerdarchaeales	Private	53.85	4.03	1.422166	2.078
Meg22_24_Bin_17	Lokiarchaeales	Private	63.95	8.33	3.806694	5.179
Meg22_24_Bin_77	Gerdarchaeales	Private	58.11	4.05	1.239807	1.759
Meg22_46_Bin_151	Gerdarchaeales	Private	63.2	8.26	2.598429	3.555
Meg22_46_Bin_152	Hodarchaeales	Private	67.53	1.08	1.495043	1.98
Meg22_46_Bin_158	Heimdallarchaeaceae	Private	88.79	7.7	2.42499	2.697
Meg22_46_Bin_198	Lokiarchaeales	Private	82.33	4.67	3.63847	4.281
Meg22_46_Bin_212	Heimdallarchaeaceae	Private	88.79	4.52	3.062644	3.406
Meg22_46_Bin_234	Heimdallarchaeaceae	Private	75.47	4.67	3.271982	4.075
Meg22_46_Bin_243	Lokiarchaeales	Private	89.41	4.49	3.571376	3.95
Meg22_46_Bin_83	Gerdarchaeales	Private	79.3	8.41	2.576411	3.11
Meg22_46_Bin_92	Gerdarchaeales	Private	63.99	7.54	2.611994	3.553
Meg22_810_Bin_115	Gerdarchaeales	Private	70.56	5.06	3.220749	4.169
Meg22_810_Bin_118	Thorarchaeia	Private	93.46	4.67	3.785365	4.033
Meg22_810_Bin_168	Helarchaeales	Private	89.8	2.8	3.581751	3.947
Meg22_810_Bin_213	Hodarchaeales	Private	83.42	6.22	4.074561	4.75
Meg22_810_Bin_230	Lokiarchaeales	Private	79.6	4.35	3.221307	3.878
Meg22_810_Bin_25	Heimdallarchaeaceae	Private	88.28	2.8	2.266479	2.532
Meg22_810_Bin_250	Lokiarchaeales	Private	77.73	2.34	4.86339	5.946
Meg22_810_Bin_9	Gerdarchaeales	Private	79.67	7.01	3.558274	4.282
Meg22_810_Bin_92	Helarchaeales	Private	73.32	3.27	3.276713	4.151
OWC_Bin2	Thorarchaeia	Public	86.45	3.74	2.68808	3.052
OWC_Bin3	Thorarchaeia	Public	87.31	3.27	2.732298	3.079
OWC_Bin5	Thorarchaeia	Public	87.85	3.74	2.277301	2.554
D4998_C1112_H3_Bin_32_clean	Freyarchaeia	Private	95.79	4.67	2.369017	2.469
D4998_C1112_H3_Bin_55_clean	Freyarchaeia	Private	90.76	3.12	2.764984	3.02
D4998_C2223_H2_Bin_199	Freyarchaeia	Private	64.1	0.93	2.860542	3.887
Meg22_1012_Bin_95	Freyarchaeia	Private	94.86	6.07	3.793596	3.989
RPA3	Odinarchaeia	Public	94.39	1.87	1.320653	1.395
Meg22_1214_Bin_132	Freyarchaeia	Private	92.52	4.21	3.282622	3.528
Meg22_1416_Bin_21_NC	Freyarchaeia	Private	69	6.54	2.94432	3.857
S2_bin16	Lokiarchaeales	Public	83.8	6.07	5.339927	6.205
S2_bin19	Thorarchaeia	Public	51.56	5.58	2.542929	3.775
S2_bin51	Heimdallarchaeaceae	Public	91.59	1.4	3.227787	3.499
S4_bin14	Lokiarchaeales	Public	81.46	0.47	2.279232	2.702
S5_bin18	Thorarchaeia	Public	86.92	3.27	3.629393	4.104
S5_bin29	Lokiarchaeales	Public	58.65	1.4	1.544808	2.184
S6_bin33	Thorarchaeia	Public	62.01	0	1.041133	1.437
S7_bin1	Thorarchaeia	Public	86.45	0.93	1.438833	1.634
S7_bin6	Thorarchaeia	Public	60.75	5.28	2.242166	3.122
S8_bin41	Lokiarchaeales	Public	54.52	7.01	1.732396	2.52
SHR11	Heimdallarchaeaceae	Public	93.46	1.4	3.871521	4.125
SMTZ_45	Thorarchaeia	Public	70.78	4.67	2.357191	3.046
SMTZ1_45_clean	Thorarchaeia	Private_Updated	75.83	7.01	3.406294	4.23
SMTZ1_83_clean	Thorarchaeia	Private_Updated	85.51	8.34	3.037572	3.478
Meg22_1618_Bin_136	Freyarchaeia	Private	87.38	2.34	3.000873	3.38
SRVP18_trench_6_60cm_Atabeya_1_Complete_Final	Atabeyarchaeia	Private	97.2	1.87	2.808651	2.887
WORA1	Sifarchaeia	Public	91.28	6.54	3.435374	3.735
WORB2	Hermodarchaeia	Public	92.99	0.93	2.664416	2.851
WORB4	Lokiarchaeales	Public	64.19	0.47	2.538511	3.448
WORC5	Lokiarchaeales	Public	87.38	3.27	3.796895	4.276
WORE3	Hodarchaeales	Public	81.78	4.67	4.243534	5.017
WORH6	Thorarchaeia	Public	79.13	1.87	2.287129	2.764
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
