Genomes	arCOG Taxonomy	Public/Private	Completeness	Contamination	MAG Size (Mb)	Predicted MAG Size
BHB10_38_Bin_74	Thorarchaeia	Private	84.2	5.14	3.583568	4.15
BHB10_38_Bin_92_clean	Hermodarchaeia	Private	71.89	5.14	2.286306	2.929
Co_bin120	Heimdallarchaeaceae	Public	88.79	1.4	2.379869	2.647
Co_bin147	Lokiarchaeales	Public	69.64	8.18	3.934314	5.129
Co_bin153	Lokiarchaeales	Public	70.14	3.74	3.005479	3.903
Co_bin157	Thorarchaeia	Public	54.92	7.39	1.105045	1.603
Co_bin169	Lokiarchaeales	Public	54.84	7.15	2.346464	3.406
Co_bin177	Lokiarchaeales	Public	61.06	5.68	1.697958	2.359
Co_bin235	Lokiarchaeales	Public	63.22	6.15	4.092427	5.598
Co_bin241	Lokiarchaeales	Public	54.54	6.15	3.821947	5.559
Co_bin249	Lokiarchaeales	Public	52.84	6.54	2.119603	3.119
Co_bin263	Lokiarchaeales	Public	75.78	5.45	2.953968	3.669
Co_bin277	Heimdallarchaeaceae	Public	73.47	5.28	3.114238	3.94
Co_bin41	Gerdarchaeales	Public	94.39	7.94	3.864661	4.081
Co_bin44	Lokiarchaeales	Public	77.26	3.27	3.653726	4.485
Co_bin69	Ranarchaeia	Public	85.3	1.4	1.880713	2.157
Co_bin7	Lokiarchaeales	Public	84.89	5.61	4.2841	4.931
D4991_C11_H1_Bin_169	Lokiarchaeales	Private	90.31	2.8	3.521081	3.862
D4991_C11_H1_Bin_181	Thorarchaeia	Private	69.55	1.87	0.986203	1.287
D4991_C11_H1_Bin_188	Gerdarchaeales	Private	75.23	6.07	2.793596	3.486
D4991_C11_H1_Bin_86	Lokiarchaeales	Private	88.32	5.14	3.297422	3.683
D4993_C5_H1_Bin_185	Thorarchaeia	Private	62.54	1.08	2.036818	2.8
D4993_C5_H1_Bin_246	Gerdarchaeales	Private	84.51	5.14	3.022106	3.49
D4993_C5_H1_Bin_263	Lokiarchaeales	Private	85.17	2.8	4.518802	5.189
D4993_C5_H1_Bin_269	Thorarchaeia	Private	92.09	8.72	4.097362	4.421
D4993_C5_H1_Bin_32_clean	Ranarchaeia	Private	76.17	1.4	1.392294	1.724
D4993_C5_H1_Bin_406_clean	Lokiarchaeales	Private	87.43	1.87	3.201882	3.604
D4993_C5_H1_Bin_447	Kariarchaeaceae	Private	81.9	0.47	2.925384	3.455
D4993_C5_H1_Bin_456	Lokiarchaeales	Private	82.87	5.14	3.345185	3.918
D4993_C5_H1_Bin_526	Lokiarchaeales	Private	63.71	2.8	2.256503	3.075
D4993_C5_H1_Bin_95	Thorarchaeia	Private	59.59	1.44	1.07647	1.511
D4993_C5_H2_Bin_133_clean	Thorarchaeia	Private	82.64	4.21	1.93263	2.268
D4993_C5_H2_Bin_260	Lokiarchaeales	Private	81.93	4.21	4.068351	4.804
D4993_C5_H2_Bin_290_clean	Helarchaeales	Private	77.73	4.67	2.923344	3.574
D4993_C5_H2_Bin_325	Lokiarchaeales	Private	82.6	3.74	4.239064	4.977
D4993_C5_H2_Bin_370	Lokiarchaeales	Private	88.01	2.8	3.499393	3.919
D4993_C5_H2_Bin_435	Thorarchaeia	Private	53.97	6.07	2.558332	3.736
D4993_C5_H2_Bin_444	Heimdallarchaeaceae	Private	93.46	6.07	3.315643	3.532
D4993_C5_H2_Bin_518	Thorarchaeia	Private	83.5	3.74	2.567279	2.991
D4993_C5_H2_Bin_565	Helarchaeales	Private	92.99	4.67	3.760699	4.024
D4993_C5_H2_Bin_570	Hodarchaeales	Private	73.94	1.87	4.052785	5.109
D4993_C5_H2_Bin_581	Gerdarchaeales	Private	58.48	1.87	2.496	3.532
D4993_C5_H2_Bin_583	Ranarchaeia	Private	73.33	0.47	1.368617	1.734
D4993_C5_H2_Bin_648	Lokiarchaeales	Private	87.85	5.43	4.749669	5.327
